Time,Link,Text,Hashtags,User,Favorites,Following,Followers,Retweets,Urls,UrlTitle,UrlDesc,UrlImg,ImageUrls,ReplyURL,QuoteID,QuoteText,QuoteImg,QuoteUrl
2020-10-25 21:53:05,https://twitter.com/by_caballero/status/1320483544729268234,"Here is a video of me and @TheKaryl explaining what Decentralized Identity is at #IIW31 @idworkshop. 
https://t.co/1cFSLKXW8r",['IIW31'],by_caballero,11,2269,775,1,['https://www.youtube.com/watch?v=DaM0UtQTLCs'],"['Karyl Fowler (Transmute) and Juan Caballero (DIF) present Intro to SSI at #IIW31, Oct 2020']","['Karyl and Juan revisited their slide deck from #IIW30 to give an overview of decentralized identity first as a ""philosophy"" at the confluence of ideological ...']",['https://i.ytimg.com/vi/DaM0UtQTLCs/maxresdefault.jpg'],[],,,,[''],['']
2020-10-24 07:43:15,https://twitter.com/evanwolf/status/1319907289512304640,"#iiw31 Nigerian's @nimc_ng is enrolling 2.5 million people a month into its NIN central national ID database. With a population of 196 million, this might be a four or five year project to cover everyone. Bold. https://t.co/ijRE8a9gyL",['iiw31'],evanwolf,0,5032,4573,0,['https://twitter.com/Naija247new/status/1319873785131053056'],[],[],[],[],,https://twitter.com/Naija247new/status/1319873785131053056,Nigeria plans digital identity database increase; targeting 2.5 million monthly National Identification number enrollment https://t.co/ARLZ9D4WCy,[''],"['', 'https://naija247news.com/2020/10/24/nigeria-plans-digital-identity-database-increase-targeting-2-5-million-monthly-national-identification-number-enrollment/']"
2020-10-23 21:32:18,https://twitter.com/evanwolf/status/1319753538742808576,"5. Finding Complexity Bombs. 
Digital identity has been simple. Mostly. But that's ending in some domains, like #MixedReality, #IoT. How do we identify complexity bombs that need defusing before they grow and explode? # #iiw31 #iiw32","['MixedReality', 'IoT', 'iiw31', 'iiw32']",evanwolf,0,5032,4573,0,[],[],[],[],[],https://twitter.com/13407/1319746543105105920,,,[''],['']
2020-10-23 21:04:29,https://twitter.com/evanwolf/status/1319746540198522880,"I missed opportunities for collaborative work at #iiw31. Thread. 

1. Mapping. 
Chart today's digital identity landscape. Update @IdentityWoman's work. 
Outputs: #WardleyMaps (maturity/visibility). Timelines. Dependencies. Morgue.
Tool: https://t.co/aLvuXJBJXG","['iiw31', 'WardleyMaps']",evanwolf,0,5032,4573,0,['https://miro.com/blog/wardley-maps-whiteboard-canvas/'],['Understand context and diminish risk: How to build your first Wardley Map with Miro'],"['This is especially helpful if you are starting a business or a non-profit, inspecting the competition, analyzing opportunities or even trying to anticipate what the future might hold.']",['https://miro.com/blog/wp-content/uploads/2018/05/wardley-map-rtb-fb-cover.jpg'],[],,,,[''],['']
2020-10-23 19:04:21,https://twitter.com/evernym/status/1319716308468989952,"After some engaging discussions at #IIW31, we're pumped for next Tuesday's panel on the future of wallets and the road to mainstream adoption.

RSVP for an interactive conversation with four of the brightest minds in the industry: https://t.co/Nq4dEj7A9U

#digitalcredentials https://t.co/k7sceDmcrG","['IIW31', 'digitalcredentials']",evernym,4,1299,4845,0,['https://www.evernym.com/future-of-digital-wallets/'],['Webinars - Evernym'],['Kickstart your self-sovereign identity journey with our collection of live and on-demand webinars.'],['https://www.evernym.com/wp-content/uploads/2020/03/webinars-social.png'],['https://pbs.twimg.com/media/ElCSlITVcAEZx8Z.jpg'],,,,[''],['']
2020-10-22 23:50:35,https://twitter.com/evanwolf/status/1319425950975549440,#iiw31 virtual swag. https://t.co/hHlIrxnRXP,['iiw31'],evanwolf,0,5032,4573,0,[],[],[],[],['https://pbs.twimg.com/media/Ek-KyzkUYAAiz-H.jpg'],,,,[''],['']
2020-10-22 20:02:57,https://twitter.com/evanwolf/status/1319368665473585152,#IIW31 23 of 24 time slots. #ssi #KobayashiMaru https://t.co/0ioT7JQaVI,"['IIW31', 'ssi', 'KobayashiMaru']",evanwolf,1,5032,4573,0,[],[],[],[],['https://pbs.twimg.com/media/Ek9WbmFVMAAjEKm.png'],,,,[''],['']
2020-10-22 18:56:46,https://twitter.com/evanwolf/status/1319352009334554624,"OH: ""We know they're offgassing my data."" #iiw31",['iiw31'],evanwolf,0,5032,4573,0,[],[],[],[],[],,,,[''],['']
2020-10-22 18:47:49,https://twitter.com/evanwolf/status/1319349759971258368,I love being in a tech community where #VC means verifiable credentials. #iiw31,"['VC', 'iiw31']",evanwolf,2,5032,4573,0,[],[],[],[],[],,,,[''],['']
2020-10-22 18:33:39,https://twitter.com/evanwolf/status/1319346194934452225,So much good stuff right now at #iiw31. #ux #digitalidentity #keri https://t.co/gKeu54SEmL,"['iiw31', 'ux', 'digitalidentity', 'keri']",evanwolf,0,5032,4573,1,[],[],[],[],['https://pbs.twimg.com/media/Ek9CHUwVkAE-Pn1.png'],,,,[''],['']
2020-10-22 17:07:19,https://twitter.com/sankarshan/status/1319324466464260097,@trustoverip members donning different hats across a range of sessions only emphasizes the various approaches towards wider adoption of verifiable credentials based systems and the gaps still left to address in the coming months. #iiw31 https://t.co/asVw85COs7,['iiw31'],sankarshan,1,2898,1934,0,['https://twitter.com/trustoverip/status/1319313874227703810'],[],[],[],[],,https://twitter.com/trustoverip/status/1319313874227703810,"Final day of #IIW31 today with @trustoverip members leading discussions about UX design, support to customers, convergence of SSI communities and diversity/inclusion.

Critical topics at an amazing event.",[''],['']
2020-10-22 16:45:12,https://twitter.com/sankarshan/status/1319318903286185984,"Good set of concerns, issues and solutions from those who are designing and deploying #SSI based solutions - in the combined session at #iiw31. @KudrixD has another follow-up session in the works to discuss about practical ways to enhance the customer experience of L1 support.","['SSI', 'iiw31']",sankarshan,1,2898,1934,0,[],[],[],[],[],,,,[''],['']
2020-10-22 16:25:13,https://twitter.com/trustoverip/status/1319313874227703810,"Final day of #IIW31 today with @trustoverip members leading discussions about UX design, support to customers, convergence of SSI communities and diversity/inclusion.

Critical topics at an amazing event.",['IIW31'],trustoverip,6,29,389,1,[],[],[],[],[],,,,[''],['']
